char	Манас	С.Кылыч	Мисмил.	Combined	Corpus(raw)
а	13.276	11.817	13.056	12.621	13.036
к	13.672	13.031	6.635	12.441	6.197
н	6.229	6.403	7.631	6.494	8.083
ы	6.040	5.833	6.278	5.984	5.635
е	5.478	5.535	5.956	5.568	5.229
т	4.991	5.269	6.007	5.248	5.888
р	4.953	4.973	5.392	5.021	5.822
л	4.606	4.473	4.608	4.549	4.979
у	3.754	4.051	4.552	3.990	4.245
д	3.594	4.051	4.304	3.886	4.173
г	3.904	3.842	3.004	3.755	2.810
б	3.576	3.801	3.146	3.614	2.886
п	3.284	3.334	2.658	3.220	1.676
о	2.991	3.143	3.804	3.167	4.035
и	2.801	2.864	3.671	2.946	5.039
й	2.658	2.411	2.375	2.514	1.473
ө	2.198	2.606	3.004	2.482	1.983
ү	2.120	2.118	2.457	2.165	2.371
с	2.027	2.077	2.271	2.082	2.531
м	2.262	1.477	2.037	1.895	3.023
ж	1.665	1.736	1.655	1.694	1.578
ш	1.417	1.427	1.942	1.493	1.681
ң	0.981	1.292	0.603	1.063	0.228
ч	0.511	1.457	1.554	1.058	1.369
э	0.911	0.181	1.193	0.636	0.723
х	0.098	0.700	0.041	0.348	0.068
в	0.001	0.072	0.142	0.051	0.650
ф	0.000	0.023	0.023	0.013	0.139
з	0.000	0.000	0.000	0.000	1.357
я	0.000	0.000	0.000	0.000	0.551
ю	0.000	0.000	0.000	0.000	0.248
ц	0.000	0.000	0.000	0.000	0.205
ь	0.000	0.000	0.000	0.000	0.075
ё	0.000	0.000	0.000	0.000	0.010
ъ	0.000	0.000	0.000	0.000	0.005
щ	0.000	0.000	0.000	0.000	0.002
